stick_insect_1,0,0,0,0,True
stick_insect_1,0,0,0,0,True
ibex,0,0,0,0,True
ibex,0,0,0,0,True
ibex,0,0,0,0,True
ibex,0,0,0,0,True
flower_crab_spider_2,0,0,0,0,True
flower_crab_spider_2,0,0,0,0,True
flower_crab_spider_2,0,0,0,0,True
hedgehog_3,0,0,0,0,False
mongoose,0,0,0,0,False
copperhead_snake,0,0,0,0,True
flower_crab_spider_2,0,0,0,0,True
hedgehog_3,0,0,0,0,False
mongoose,0,0,0,0,False
copperhead_snake,0,0,0,0,True
pygmy_seahorse_0,0,0,0,0,True
sand_cat_0,0,0,0,0,True
flower_crab_spider_1,0,0,0,0,True
rusty_spotted_cat_0,0,0,0,0,False
arctic_fox_3,0,0,0,0,True
